variable,coef,se
lypex,0.732480761986572,0.03308784700864474
lypim,0.7410780461451618,0.03548398276814066
lyex,0.1567117039378231,0.052328857449059865
lyim,0.13501847587400653,0.04638129115207835
ldist,-0.7838005729223992,0.06358230280782784
border,0.19291082577062454,0.1651079580804714
comlang,0.7459839460399,0.27550760220729964
colony,0.025006496769199624,0.2745423896973989
landl_ex,-0.8634736571819421,0.1288971432629569
landl_im,-0.6964203563978432,0.1654491672192561
lremot_ex,0.6598400852726526,0.1754227953105737
lremot_im,0.5615002378418926,0.16975966957576197
comfrt_wto,0.18110716955998338,0.15861327835477163
open_wto,-0.10681868839292583,0.21541934371358817
constant,-39.23385879195777,3.049339261654341
